,dfx_feature_importance_mean,permutation_feature_importance_mean,model_feature_importance_mean,shap_feature_importance_mean,random_feature_importance_mean
lead_time,-0.14710405663659618,0.3030082484230956,0.0093598926233082,1.0,0.6752484629478204
arrival_date_week_number,0.009730978027680618,0.25317732035847434,0.07999057452521563,0.7686973706029733,0.5937132824316586
arrival_date_day_of_month,0.12518920426384594,0.23417633339795665,0.00163308856340653,0.6699419329196542,0.7619267006665247
stays_in_weekend_nights,0.14975800381084026,-0.03324476451831019,-0.0056272430081142355,0.5027066693351679,0.6068281470889803
stays_in_week_nights,-0.19661171933070484,-0.07247151503770854,-0.12805194646174525,0.38595645446712673,0.6540924739219104
adults,0.13666082719063222,-0.13743225298281614,-0.13847995304236335,0.3458757920233813,0.6314758669595824
children,0.3898379018000977,-0.1463914856537034,-0.15875488300119492,0.2999184936014346,0.5994374272674298
babies,-0.15620106989562735,-0.17728740749148283,-0.22787016819072145,0.2667754176319152,0.6548699929568468
is_repeated_guest,-0.07075199279556271,-0.19693373389937316,-0.20818047419684352,0.24614520287831684,0.6860784674225089
previous_cancellations,0.07663775182836036,-0.23323107590614955,-0.1903965012419705,0.20529065972420413,0.7032110544412083
previous_bookings_not_canceled,0.06141580695417644,-0.25629796594728677,-0.21555341353180935,0.1859102894843558,0.5710852095023277
agent,0.35697357695401194,-0.2648788304562421,-0.21951006017215594,0.16782909057491566,0.6873671958147827
company,0.2661980787344146,-0.26644748513085453,-0.22220653250238795,0.1518116627510265,0.6292392746848916
required_car_parking_spaces,0.19389902382186386,-0.2870450815527308,-0.2906227016050971,0.1334879120890138,0.5172447019134218
total_of_special_requests,-0.08138601984369316,-0.2855840801634545,-0.2583809189917383,0.12482387329861384,0.6269019208258148
adr,0.13758116940939694,-0.3007969563250748,-0.25908103760615914,0.11351587389968239,0.5494225706853135
hotel_Resort Hotel,-0.015156040134988965,-0.290432680310412,-0.2768204254718905,0.09994143418834038,0.7165739484858347
arrival_date_month_August,-0.22808471242827466,-0.29191568992520184,-0.30444671760535463,0.09058983788539236,0.6032181174959813
arrival_date_month_July,-0.2718608777709855,-0.288437308057866,-0.28841469612707277,0.0821711531846533,0.6022903217239185
meal_BB,0.22986737355119816,-0.3025194528417996,-0.26309064011123223,0.07574044916770664,0.5922571618672566
meal_FB,0.0369931555651653,-0.30705234451973057,-0.2993405446231632,0.06560127401095102,0.6444565122371987
meal_HB,0.09370795920600267,-0.3033630245165023,-0.24970717329150485,0.058745012270940866,0.5321895005438498
market_segment_Complementary,-0.1018274787468601,-0.3303988852670177,-0.27286201308014424,0.04781131560027743,0.5349149008616683
market_segment_Corporate,0.0304197310565776,-0.32229056815750384,-0.26283302220346777,0.04219035796333032,0.5423805124894387
market_segment_Direct,-0.3988959767692288,-0.3236079180644315,-0.2846736555551592,0.03276798141487917,0.5138202611101047
market_segment_Groups,-0.06348623301184943,-0.32685786850680304,-0.28871007489681827,0.029067474890269594,0.5490887284836611
market_segment_Offline TA/TO,0.31300909904094487,-0.3251628816570585,-0.31954908349062383,0.022137176404221498,0.7303605594444856
market_segment_Online TA,0.13557851079025396,-0.3240239379761749,-0.2894769956706313,0.018815661084301372,0.5535397603212795
distribution_channel_Corporate,0.07456062545458268,-0.32620198777589754,-0.2944424891278335,0.0162561671837711,0.619749902770072
distribution_channel_Direct,-0.08117669429362781,-0.32776802947424716,-0.2796747438185946,0.015212100274139101,0.7018507606120609
distribution_channel_TA/TO,-0.13227708593955684,-0.3368076016955745,-0.31176183228728005,0.013539958319339386,0.6527711803079906
reserved_room_type_A,-0.08043201207685503,-0.3295386711036081,-0.31828496466621586,0.008657345055299047,0.6010180830286113
reserved_room_type_C,-0.033495908101319784,-0.3375100480132091,-0.32755561980908615,0.007131854613735322,0.6140363556034026
reserved_room_type_D,-0.2631091858057734,-0.3303316213015966,-0.31182091315424354,0.005129661921977805,0.63176696227671
reserved_room_type_E,-0.08252183463998881,-0.33061947392105545,-0.3087319300502314,0.0046638749251029675,0.49797649658239473
reserved_room_type_F,-0.016956203057523267,-0.3334600744120502,-0.2748615847707836,0.0030425617863282296,0.5230905422554677
reserved_room_type_G,0.033303668282003436,-0.33416252072968494,-0.3268041930971129,0.0016923199143244851,0.6305979565113734
reserved_room_type_H,0.1867320880634302,-0.3336211859527922,-0.3309985569744598,0.0004935448421456241,0.5691999333919028
reserved_room_type_L,-0.015910037395480536,-0.3333333333333333,-0.33291550368884276,0.0001988800839884771,0.43162173689164574
deposit_type_No Deposit,0.22592268334439713,-0.3333333333333333,-0.31960561984963337,0.0,0.5862816600676652
customer_type_Contract,-0.3157220927446579,-0.3333333333333333,-0.3333333333333333,0.0,0.5584739818053749
customer_type_Group,-0.11570575234568174,-0.3333333333333333,-0.33333333333332177,0.0,0.5203156147321443
customer_type_Transient,0.10023457669920566,-0.3333333333333333,-0.31960561984963337,0.0,0.7374340261193396
customer_type_Transient-Party,-0.3311928386821215,-0.3333333333333333,-0.3333333333333333,0.0,0.615569985730646
